Date	EUR10P1M	EUR25P1M	EURATM1M	EUR25C1M	EUR10C1M	EUR10P2M	EUR25P2M	EURATM2M	EUR25C2M	EUR10C2M	EUR10P3M	EUR25P3M	EURATM3M	EUR25C3M	EUR10C3M	EUR10P6M	EUR25P6M	EURATM6M	EUR25C6M	EUR10C6M	EUR10P1Y	EUR25P1Y	EURATM1Y	EUR25C1Y	EUR10C1Y	EUR10P2Y	EUR25P2Y	EURATM2Y	EUR25C2Y	EUR10C2Y	EUR=	EUR1M=	EUR2M=	EUR3M=	EUR6M=	EUR1Y=	EUR2Y=	USD1MOIS=	USD2MOIS=	USD3MOIS=	USD6MOIS=	USD1YOIS=	USD2YOIS=	EUREON1M=	EUREON2M=	EUREON3M=	EUREON6M=	EUREON1Y=	EUREON2Y=
2010-07-22	15.3875	14.0125	12.9	12.4125	12.5125	16.025	14.3125	12.9	12.2875	12.375	16.6525	14.5775	12.965	12.3275	12.3775	17.45	14.95	13.15	12.6	12.725	18.6125	15.7375	13.5	12.9125	13.2875	17.85	15.1625	13.1	12.6125	12.95	1.2891	-0.5	-1.26	-2.2	-6.955	-14.4	-7.19	0.1825	0.1845	0.182	0.188	0.235	0.6	0.512	0.529	0.555	0.63	0.686	0.843
2010-07-23	14.6625	13.2875	12.2	11.7625	11.8875	15.4875	13.8	12.45	11.9	12.0125	16.1125	14.1375	12.525	11.8875	12.0375	17.1625	14.7875	12.95	12.3625	12.6125	18.4	15.575	13.4	12.85	13.3	17.7175	15.08	13.08	12.63	13.0175	1.2907	-0.4	-1.045	-2.1	-6.945	-14.85	-15.5	0.1825	0.1835	0.18	0.185	0.236	0.6	0.515	0.56	0.57	0.636	0.728	0.9211
2010-07-26	13.9875	12.7	11.7	11.35	11.5375	14.675	13.00625	11.7	11.19375	11.35	15.4625	13.5375	12	11.4125	11.5875	16.525	14.2125	12.45	11.9125	12.2	17.4	14.8125	12.85	12.5125	13.15	17.1125	14.525	12.6	12.2	12.6125	1.29945	-0.5	-1.395	-2.6	-8.745	-20.35	-29.06	0.189	0.183	0.185	0.19	0.248	0.62	0.508	0.533	0.567	0.634	0.741	0.96
2010-07-27	13.2375	12.0125	11.1	10.8125	11.0375	14.275	12.6625	11.4	10.9125	11.1	15.215	13.3025	11.79	11.2275	11.415	16.25	13.9375	12.2	11.6875	12	17.48	14.73	12.655	12.18	12.68	16.9125	14.3125	12.4	11.9875	12.4125	1.2995	-0.6	-1.65	-3.15	-9.6	-23.55	-31.5	0.191	0.188	0.1875	0.1925	0.2675	0.65	0.5105	0.543	0.571	0.647	0.755	0.998
2010-07-28	12.8875	11.6875	10.8	10.5375	10.8125	13.7	12.14375	10.95	10.53125	10.75	14.3875	12.5875	11.2	10.7375	11.0125	15.6875	13.4375	11.75	11.2875	11.6375	16.8925	14.1925	12.155	11.7175	12.2175	16.475	13.9125	12.025	11.6375	12.1	1.2993	-0.7	-1.945	-3.6	-11.295	-25.65	-40.46	0.191	0.1905	0.19	0.193	0.2525	0.61	0.5075	0.5285	0.563	0.637	0.7405	0.9654
2010-07-29	12.6125	11.45	10.6	10.375	10.6625	13.655	12.11125	10.955	10.57375	10.83	14.4	12.6125	11.25	10.8375	11.15	15.475	13.275	11.65	11.225	11.625	16.8175	14.1425	12.155	11.7425	12.3175	16.3375	13.825	12	11.65	12.1625	1.30795	-0.45	-1.645	-3.35	-10.65	-25	-40.75	0.184	0.1895	0.185	0.194	0.248	0.59	0.4795	0.519	0.552	0.625	0.729	0.95
2010-07-30	12.575	11.3625	10.45	10.1875	10.45	13.755	12.1925	11.005	10.5925	10.83	14.3025	12.49	11.115	10.665	10.9525	15.6375	13.4125	11.75	11.3125	11.6875	16.9175	14.2175	12.205	11.7675	12.3175	16.3625	13.8625	12.025	11.6875	12.1875	1.3048	-0.2	-1.045	-2.75	-9.495	-23.45	-32.22	0.184	0.1925	0.185	0.189	0.235	0.55	0.468	0.537	0.551	0.616	0.711	0.9278
2010-08-02	12.5875	11.4875	10.75	10.6375	11.0375	13.2625	11.825	10.8	10.525	10.8875	14.025	12.35	11.1	10.775	11.175	15.375	13.2	11.6	11.2	11.625	16.755	14.105	12.155	11.78	12.355	16.1875	13.725	11.95	11.65	12.1875	1.3182	-0.45	-1.495	-3.32	-10.6	-24.35	-41.67	0.187	0.1835	0.186	0.186	0.233	0.56	0.473	0.511	0.548	0.619	0.746	0.949
2010-08-03	12.3875	11.4375	10.8	10.6875	10.9875	13.225	11.96875	11.05	10.78125	11.05	13.7875	12.275	11.175	10.875	11.2125	15.175	13.15	11.675	11.325	11.725	16.4875	14.0375	12.225	11.8625	12.4125	16.0125	13.7	12.05	11.8	12.3375	1.3228	-0.6	-1.73	-3.855	-11.8	-26.7	-42.94	0.185	0.1785	0.183	0.184	0.222	0.53	0.497	0.534	0.567	0.623	0.711	0.91
2010-08-04	12.875	11.8625	11.15	10.9625	11.25	13.425	12.175	11.25	10.95	11.175	14.2125	12.6875	11.525	11.1875	11.4875	15.5	13.375	11.95	11.65	11.95	16.8425	14.3675	12.53	12.1425	12.6675	16.35	14	12.325	12.05	12.575	1.316	-0.5	-1.895	-3.9	-11.65	-26.5	-32.15	0.18	0.181	0.177	0.181	0.227	0.56	0.503	0.554	0.568	0.628	0.728	0.9175
